epoch,errors,weight_1,weight_2,weight_3,weight_4,bias
1,57,-0.08189744711727576,-0.08839177768992476,-0.05191301596075592,0.0030582427398926294,-0.03
2,31,-0.09770873259023943,-0.09268050541290508,-0.07659818217184315,-0.010098519754257781,-0.04
3,25,-0.09429051028960203,-0.10038346798442344,-0.09524211660204496,-0.01607651342492557,-0.05
4,20,-0.09607914131003681,-0.12258255673054667,-0.08249858142779248,-0.010024450001662506,-0.05
5,18,-0.10539136783233988,-0.10524354120978785,-0.10385795794988986,-0.007955869814194888,-0.05
6,24,-0.11851296881801168,-0.11381074635142166,-0.10954001259422746,-0.006928167039893471,-0.05
7,21,-0.11350712006900059,-0.12075895013242476,-0.11123962924813188,-0.009569129911813487,-0.060000000000000005
8,24,-0.10266557672295716,-0.1333540183427665,-0.12155359510914285,-0.0001740792484510509,-0.060000000000000005
9,22,-0.13746878642592125,-0.13953683272526704,-0.10016680739491216,-0.010788971962135713,-0.060000000000000005
10,21,-0.13171177639176151,-0.14559609499874915,-0.11603402806362814,-0.0046328421281689545,-0.05
11,22,-0.13123614821766727,-0.14072503431314015,-0.12922539333512956,-0.011533410573591323,-0.07
12,21,-0.1280699576186317,-0.14612474979682555,-0.13890183919932347,-0.021933378504079042,-0.060000000000000005
13,22,-0.13969183646633052,-0.16285673341755025,-0.12178295785314072,0.004374537430112429,-0.060000000000000005
14,19,-0.14031555851994984,-0.16342082426100685,-0.12534193996157458,-0.0015231799806130807,-0.07
15,21,-0.14590260145273432,-0.15365085067273204,-0.14742004881010343,-0.015898803688220473,-0.08
16,22,-0.1388701862409272,-0.16658809233714195,-0.15316572248715696,-0.017333496625472445,-0.08
17,19,-0.15769766818009395,-0.17781777873270943,-0.13421005247563222,-0.0044851549506589984,-0.07
18,18,-0.15709585091969658,-0.18121394614108244,-0.1376565282756956,-0.002644466971353736,-0.07
19,15,-0.15118090691252245,-0.1713521013240441,-0.15102388945577572,-0.021958066263620707,-0.08
20,17,-0.1511752228429125,-0.18102303424840227,-0.14648067092924366,-0.002285957003943151,-0.09
21,19,-0.16215170267333828,-0.16515115132235902,-0.16264614207968112,-0.011977979739544864,-0.08
22,19,-0.16247560879216894,-0.18969551843423604,-0.15098913716404094,0.005439061962849663,-0.07
23,21,-0.16610173107132334,-0.19077829821322195,-0.15282035539237038,0.0052241181342767,-0.08
24,15,-0.16172965199017314,-0.18129382426906382,-0.1652848415733094,-0.01679820976304152,-0.09
25,14,-0.17395429822492295,-0.17440518658728726,-0.1645869122359271,-0.013547721152948005,-0.09
26,19,-0.16958352297843904,-0.18283101080630582,-0.1722465581695204,-0.024612625057914936,-0.08
27,24,-0.17704138379182507,-0.1992456381360569,-0.16145801428518203,0.006928579300224383,-0.08
28,17,-0.161412978295499,-0.19615925382844074,-0.18097258481031409,-0.01871379844490622,-0.09
29,19,-0.18024046023466575,-0.20738894022400822,-0.16201691479878935,-0.005865456770092769,-0.08
30,15,-0.17432551622749162,-0.1975270954069699,-0.17538427597886946,-0.025179056062359744,-0.09
31,13,-0.1650951580472187,-0.2058121193126339,-0.17941651313184026,0.009454148333180062,-0.09999999999999999
32,17,-0.1752395028784271,-0.1967686038151375,-0.18648546064054558,-0.012779425922785111,-0.09
33,17,-0.1810738954500452,-0.19333996082967875,-0.1816179962595662,-0.027383008497370943,-0.09999999999999999
34,14,-0.18395341262837483,-0.19846787533311178,-0.17593615050661665,-0.022981084066290357,-0.09999999999999999
35,14,-0.18339945359942061,-0.20051317773880878,-0.176327937909843,-0.01910862108868437,-0.09999999999999999
36,14,-0.18199615172185513,-0.20139456201327288,-0.1788356326021876,-0.017329530616785594,-0.09999999999999999
37,19,-0.18102661694693098,-0.20836713979374377,-0.1739324245837101,-0.00413473945892893,-0.10999999999999999
38,12,-0.18411396734252966,-0.20225456043942502,-0.18714144922925366,-0.017989602782927504,-0.09
39,21,-0.16904349733115265,-0.21275778874421408,-0.19357384843006978,-0.0118196985716214,-0.09999999999999999
40,19,-0.1878709792703194,-0.22398747513978157,-0.17461817841854504,0.001028643103192051,-0.09
41,14,-0.19144454456495044,-0.20923693363489432,-0.17999189954581243,0.0016519361721239981,-0.10999999999999999
42,17,-0.19492146357885776,-0.2113741125884081,-0.18414959741075765,-0.02163448075449462,-0.09999999999999999
43,12,-0.18597081303308274,-0.21145132532798117,-0.1952944171623665,-0.01110018331080065,-0.09999999999999999
44,16,-0.19183876005615116,-0.20917602100003269,-0.1952507820724338,-0.02012620124562889,-0.09999999999999999
45,15,-0.19767621595623866,-0.2098597766608018,-0.19547064517248752,-0.02239274611807364,-0.09
46,11,-0.1995832775999311,-0.20887194257310482,-0.19195586857942443,-0.010503182192599997,-0.09999999999999999
47,18,-0.18112555418810258,-0.21978094363144524,-0.205765910340066,0.001428474489994382,-0.09999999999999999
48,16,-0.19520400309375238,-0.2149910266171366,-0.19915148059057428,-0.018846551953246464,-0.09999999999999999
49,12,-0.1919021722128132,-0.21238062240839217,-0.20552150741613412,-0.018828254108231152,-0.09999999999999999
50,11,-0.21461549621602957,-0.21822450715930364,-0.18312748515852292,-0.016415826225914323,-0.09
51,15,-0.2054961620947295,-0.209727606312466,-0.2016853331267245,-0.00891607387236983,-0.09999999999999999
52,21,-0.1896328641756954,-0.221158410177424,-0.20709161140949361,-0.006360248783492503,-0.10999999999999999
53,15,-0.2039011105825069,-0.2184352602342503,-0.20196362287581723,-0.023077329874028992,-0.09999999999999999
54,14,-0.19252429403169768,-0.22446262645231246,-0.2115751798396816,0.0043698614085580624,-0.09999999999999999
55,16,-0.20660274293734748,-0.21967270943800382,-0.20496075009018988,-0.015905165034682783,-0.09999999999999999
56,12,-0.2040937399640654,-0.21613472966909048,-0.21235689783379672,-0.012272788067238695,-0.09999999999999999
57,22,-0.2013539265936984,-0.24407551454161036,-0.19322732082757307,-0.0035608950418666895,-0.09999999999999999
58,13,-0.2046858615089818,-0.22930750748203194,-0.20511108894993857,0.006579974831842907,-0.10999999999999999
59,16,-0.21230520866361238,-0.2274308799705545,-0.2043913420675899,-0.009402938057129264,-0.10999999999999999
60,16,-0.20271515806980675,-0.22877453504191947,-0.21598597460797395,-0.021286095689677847,-0.10999999999999999
61,15,-0.21275720412205343,-0.22205148183467727,-0.20932482950890657,-0.018280942566948018,-0.11999999999999998
62,22,-0.21950366821023987,-0.24297709940335277,-0.20025419501754696,-0.0023425242468423377,-0.09999999999999999
63,15,-0.213709777376716,-0.23376772780283905,-0.21288579430886684,-0.020424839979140505,-0.10999999999999999
64,16,-0.22037055230744154,-0.23056484791472165,-0.21386828013698111,-0.02583677879153997,-0.10999999999999999
65,13,-0.21709312470092468,-0.24053542762974078,-0.20843402378995993,-0.0052042921618067756,-0.11999999999999998
66,12,-0.21996018647238072,-0.23531514119300456,-0.22042010540967458,-0.015857627776126215,-0.09999999999999999
67,13,-0.22259757880384573,-0.23013361561644374,-0.2200134005681535,-0.010919335657525333,-0.10999999999999999
68,21,-0.2067342808848116,-0.24156441948140173,-0.22541967885092262,-0.008363510568648005,-0.11999999999999998
69,15,-0.22082446651875384,-0.2300376536465107,-0.22914543574584173,-0.022488515982281874,-0.10999999999999999
70,18,-0.2180925708705006,-0.2438423881101635,-0.22833656187128992,-0.012280694374395874,-0.10999999999999999
71,16,-0.22441165210467262,-0.24120726900685363,-0.22819544413363507,-0.01754477441003095,-0.10999999999999999
72,21,-0.2089994883967421,-0.25227825809645016,-0.23350423976868204,-0.011227011421960455,-0.11999999999999998
73,16,-0.21738671383690242,-0.2526728441717517,-0.22648200760955256,9.519322785741082e-05,-0.11999999999999998
74,16,-0.2241115343420592,-0.24540683561709492,-0.23136844137739776,-0.02435378449545355,-0.11999999999999998
75,14,-0.23452143866833686,-0.24955416537270508,-0.2173399920655502,-0.020382761696921985,-0.11999999999999998
76,14,-0.22973248362505458,-0.245688244520042,-0.22910336242711052,-0.01756298426561724,-0.11999999999999998
77,15,-0.23579022814928471,-0.24547970726322854,-0.23054616855299315,-0.023031056847741125,-0.10999999999999999
78,14,-0.2330270135113371,-0.2395258039386674,-0.24159745138309716,-0.01560610749376884,-0.10999999999999999
79,15,-0.2352125678341773,-0.2519687253479626,-0.2230694186346503,-0.01577153334467871,-0.11999999999999998
80,12,-0.23254366206407348,-0.24995795561563755,-0.22772700028189058,-0.014355542966682568,-0.11999999999999998
81,17,-0.23219273012042788,-0.25600655427921765,-0.22272073917867818,-0.023713329066616624,-0.12999999999999998
82,15,-0.22584579700397947,-0.25305050480546415,-0.23817830062541887,-0.03016652372359568,-0.11999999999999998
83,13,-0.21669672743740775,-0.26469283407839167,-0.23026612821391687,0.0012035268867944676,-0.12999999999999998
84,9,-0.22836289364875553,-0.2536917284837728,-0.23781645432113596,-0.005649968244806618,-0.11999999999999998
85,16,-0.23423084067182395,-0.2514164241558244,-0.23777281923120325,-0.014675986179634863,-0.11999999999999998
86,15,-0.24427288672407063,-0.24469337094858223,-0.23111167413213585,-0.011670833056905036,-0.12999999999999998
87,17,-0.23680610618172915,-0.25936541603822755,-0.2283223407376229,-0.02899689004581743,-0.11999999999999998
88,15,-0.235098498946299,-0.2648215219776799,-0.22774248814562384,-0.008986563476012944,-0.12999999999999998
89,13,-0.23759770244372405,-0.2487308525780914,-0.24709587397811864,-0.02060576876613412,-0.11999999999999998
90,14,-0.2400177454103236,-0.25426426179994444,-0.24139012176632293,-0.00937574373627371,-0.11999999999999998
91,16,-0.2386460792313371,-0.26012220315457246,-0.23943327366407147,-0.023985880205448794,-0.11999999999999998
92,12,-0.23613707625805502,-0.25658422338565906,-0.2468294214076783,-0.020353503238004705,-0.11999999999999998
93,18,-0.23188585771086276,-0.2636801252866868,-0.24694872160036693,-0.012189498067410771,-0.11999999999999998
94,15,-0.24277738737122495,-0.264508580278218,-0.23255929145081078,-0.011216010432069531,-0.12999999999999998
95,14,-0.2360232888891853,-0.2565829397099902,-0.24731375438664646,-0.027562547162785,-0.12999999999999998
96,14,-0.2473084728119834,-0.2746304481498916,-0.2337605428108621,-0.0024379012047349487,-0.10999999999999999
97,15,-0.2415145819784595,-0.26542107654937785,-0.24639214210218194,-0.020520216937033115,-0.11999999999999998
98,12,-0.23821275109752033,-0.2628106723406334,-0.2527621689277417,-0.020501919092017803,-0.11999999999999998
99,10,-0.24758230192792696,-0.25303686900156547,-0.25368105893329435,-0.021044031436516522,-0.11999999999999998
100,15,-0.24976785625076722,-0.26547979041086067,-0.23515302618484746,-0.021209457287426396,-0.12999999999999998
